timestamp_iso,timestamp_unix,source_addr,sequence,node_id,n_antennas,n_subcarriers,frequency_mhz,rssi_dbm,noise_floor_dbm,mean_amplitude,rms_amplitude,smoothed_amplitude,amplitude_count
2026-07-23T20:55:27.168+05:30,1784820327.168033,192.168.1.11:59574,158140,1,1,192,2432,-72,-97,13.489315,16.127907,14.253742,192
2026-07-23T20:55:27.207+05:30,1784820327.207932,192.168.1.11:59574,158141,1,1,192,2432,-71,-97,14.568062,18.218151,14.268575,192
2026-07-23T20:55:27.229+05:30,1784820327.229837,192.168.1.11:59574,158142,1,1,192,2432,-70,-96,14.404323,18.663830,14.270778,192
2026-07-23T20:55:27.246+05:30,1784820327.246863,192.168.1.11:59574,158143,1,1,192,2432,-70,-96,14.440951,18.114221,14.275783,192
2026-07-23T20:55:27.287+05:30,1784820327.287679,192.168.1.11:59574,158144,1,1,192,2432,-70,-96,14.771943,18.402615,14.296906,192
2026-07-23T20:55:27.309+05:30,1784820327.309572,192.168.1.11:59574,158145,1,1,192,2432,-71,-96,14.350274,17.874854,14.320068,192
2026-07-23T20:55:27.349+05:30,1784820327.349080,192.168.1.11:59574,158146,1,1,192,2432,-71,-96,14.386609,18.385909,14.334745,192
2026-07-23T20:55:27.376+05:30,1784820327.376638,192.168.1.11:59574,158147,1,1,192,2432,-70,-96,14.504446,17.267202,14.367844,192
2026-07-23T20:55:27.417+05:30,1784820327.417412,192.168.1.11:59574,158148,1,1,192,2432,-71,-97,14.621567,17.259357,14.390938,192
2026-07-23T20:55:27.447+05:30,1784820327.447896,192.168.1.11:59574,158149,1,1,192,2432,-70,-97,14.202245,17.625148,14.398547,192
2026-07-23T20:55:27.468+05:30,1784820327.468007,192.168.1.11:59574,158150,1,1,192,2432,-69,-97,14.496278,17.873834,14.414378,192
2026-07-23T20:55:27.506+05:30,1784820327.506634,192.168.1.11:59574,158151,1,1,192,2432,-70,-97,14.568882,18.183956,14.426384,192
2026-07-23T20:55:27.528+05:30,1784820327.528289,192.168.1.11:59574,158152,1,1,192,2432,-70,-97,14.044554,17.217965,14.415475,192
2026-07-23T20:55:27.553+05:30,1784820327.553159,192.168.1.11:59574,158153,1,1,192,2432,-70,-97,14.198331,17.052462,14.420647,192
2026-07-23T20:55:27.592+05:30,1784820327.592034,192.168.1.11:59574,158154,1,1,192,2432,-70,-97,14.275905,17.393725,14.437421,192
2026-07-23T20:55:27.608+05:30,1784820327.608277,192.168.1.11:59574,158155,1,1,192,2432,-70,-97,14.026430,16.829568,14.458727,192
2026-07-23T20:55:27.640+05:30,1784820327.640182,192.168.1.11:59574,158156,1,1,192,2432,-71,-97,14.799031,17.684886,14.468180,192
2026-07-23T20:55:27.666+05:30,1784820327.666781,192.168.1.11:59574,158157,1,1,192,2432,-72,-97,14.139647,16.633770,14.279637,192
